year,stFips,cropCd,yieldDev
1996,55,41,-0.1063416987306673
1997,55,41,0.08077446237087584
1998,55,41,0.11496463685940107
1999,55,41,0.14146656580364053
2000,55,41,0.03312458495258213
2001,55,41,-0.04411689721567381
2002,55,41,0.04327728992518883
2003,55,41,-0.057505921047544595
2004,55,41,-0.06662014842483056
2005,55,41,0.061098342634220065
2006,55,41,0.01898500004565032
2007,55,41,0.004294765267752422
2008,55,41,-0.05673475725978303
2009,55,41,0.04628746720143647
2010,55,41,0.14462850570477181
2011,55,41,0.09753182176007988
2012,55,41,-0.20124805707953045
2013,55,41,-0.06477032699501785
1980,13,81,-0.37030733394426607
1981,13,81,0.05132722281416308
1982,13,81,0.49517143762594784
1983,13,81,0.13335058394240132
1984,13,81,0.0311348766095819
1985,13,81,0.09534279490043447
1986,13,81,-0.33704699894183077
1987,13,81,0.0038974026540566616
1988,13,81,0.2064438925996727
1989,13,81,0.21618195875150348
1990,13,81,-0.47760496385755163
1991,13,81,0.25003254688378485
1992,13,81,0.3198153592909438
1993,13,81,-0.38266025533966314
1994,13,81,0.3291998772701959
1995,13,81,0.14616985090581192
1996,13,81,0.09192635025819489
1997,13,81,-0.15505958566311465
1998,13,81,-0.35850475458415404
1999,13,81,-0.32754296639388064
2000,13,81,-0.2029388349223462
2001,13,81,-0.030486098723710636
2002,13,81,-0.21348428134545153
2003,13,81,0.2396856459395191
2004,13,81,0.13324532723633026
2005,13,81,-0.055861527038330534
2006,13,81,-0.16887160791808767
2007,13,81,0.05148426941941929
2008,13,81,0.07007999941625209
2009,13,81,0.1885987682274449
2010,13,81,-0.14588730800124425
2011,13,81,-0.3425545535636262
2012,13,81,0.24059912134760755
2013,13,81,0.30715267553549147
1980,17,81,-0.02656667269589909
1981,17,81,0.08446391607119838
1982,17,81,0.09119010018446809
1983,17,81,-0.17409603222368125
1984,17,81,-0.14098626291693497
1985,17,81,0.1552969038598372
1986,17,81,0.08056515770422193
1987,17,81,0.008718620381223776
1988,17,81,-0.2914654857468431
1989,17,81,0.043857923846552495
1990,17,81,0.0010808941652006047
1991,17,81,-0.048052801344869604
1992,17,81,0.08346421029403905
1993,17,81,0.044883484513261775
1994,17,81,0.12194576000602195
1995,17,81,-0.046356041155316406
1996,17,81,-0.019965556088847144
1997,17,81,0.029805327572053036
1998,17,81,0.04324852514885658
1999,17,81,-0.01427687184592616
2000,17,81,0.022242667156506645
2001,17,81,0.03225427487744853
2002,17,81,-0.020621540452585078
2003,17,81,-0.16479797941442687
2004,17,81,0.11647055221386415
2005,17,81,0.02814009311536752
2006,17,81,0.05158112879844987
2007,17,81,-0.053538254974569016
2008,17,81,0.006721618344173164
2009,17,81,-0.020449961384213584
2010,17,81,0.08646771284112625
2011,17,81,-0.0059591108253068195
2012,17,81,-0.1160729859232086
2013,17,81,0.008519386037493599
1980,18,81,0.04968069016777976
1981,18,81,-0.05644411597276506
1982,18,81,0.0885735239722988
1983,18,81,-0.13800488750142084
1984,18,81,-0.05180104542547902
1985,18,81,0.12907389802491254
1986,18,81,-0.008595616748361871
1987,18,81,0.05893379250923699
1988,18,81,-0.28945003291762755
1989,18,81,-0.056373623252271035
1990,18,81,0.053899532017707294
1991,18,81,-0.01566921266495123
1992,18,81,0.0777896882944939
1993,18,81,0.13567664307845703
1994,18,81,0.15405366550889862
1995,18,81,-0.040595870269810166
1996,18,81,-0.09034115181220746
1997,18,81,0.02793812362822932
1998,18,81,-0.026663356918702818
1999,18,81,-0.09771684823625092
2000,18,81,0.058602083846728326
2001,18,81,0.11791611244292938
2002,18,81,-0.06617580321230684
2003,18,81,-0.1617819661507763
2004,18,81,0.1350656199463255
2005,18,81,0.07094941713633
2006,18,81,0.08215223977837723
2007,18,81,-0.012810714668456801
2008,18,81,-0.04520595015764744
2009,18,81,0.0315235596522711
2010,18,81,0.009306643146952273
2011,18,81,-0.060349893203727877
2012,18,81,-0.09990261796033927
2013,18,81,0.03361622972308573
1980,19,81,0.06791912332935159
1981,19,81,0.09373562259997278
1982,19,81,-0.015578865331329968
1983,19,81,-0.06374956997273788
1984,19,81,-0.17255859641489027
1985,19,81,-0.007307924586055117
1986,19,81,0.07237864360150281
1987,19,81,0.11132116645077879
1988,19,81,-0.21646315487146114
1989,19,81,-0.021146107736044677
1990,19,81,0.020156006345488947
1991,19,81,-0.01040624000234164
1992,19,81,0.06868044889341571
1993,19,81,-0.27814237458147395
1994,19,81,0.20195281706986662
1995,19,81,0.0357942499638694
1996,19,81,0.02449815531825154
1997,19,81,0.05597268285822964
1998,19,81,0.09633105887303116
1999,19,81,0.006751249740459699
2000,19,81,-0.02258564730642491
2001,19,81,-0.026022565799123633
2002,19,81,0.05518315415354296
2003,19,81,-0.2921502234587569
